Date,0669.HK,2285.HK
2015-01-05,100.0,
2015-01-06,99.20318725099601,
2015-01-07,99.20318725099601,
2015-01-08,99.402390438247,
2015-01-09,100.59760956175299,
2015-01-12,101.99203187250995,
2015-01-13,99.402390438247,
2015-01-14,99.601593625498,
2015-01-15,97.41035856573704,
2015-01-16,97.41035856573704,
2015-01-19,96.21513944223106,
2015-01-20,96.41434262948206,
2015-01-21,98.40637450199202,
2015-01-22,99.00398406374502,
2015-01-23,101.39442231075697,
2015-01-26,98.60557768924302,
2015-01-27,98.60557768924302,
2015-01-28,99.20318725099601,
2015-01-29,99.601593625498,
2015-01-30,101.19521912350598,
2015-02-02,99.402390438247,
2015-02-03,99.402390438247,
2015-02-04,99.601593625498,
2015-02-05,100.0,
2015-02-06,102.19123505976096,
2015-02-09,102.58964143426294,
2015-02-10,102.39043824701196,
2015-02-11,103.98406374501991,
2015-02-12,99.601593625498,
2015-02-13,101.19521912350598,
2015-02-16,103.78486055776892,
2015-02-17,102.78884462151395,
2015-02-25,109.3625498007968,
2015-02-26,107.96812749003983,
2015-02-27,106.97211155378486,
2015-03-02,106.37450199203187,
2015-03-03,106.57370517928287,
2015-03-04,107.37051792828684,
2015-03-05,106.97211155378486,
2015-03-06,108.76494023904382,
2015-03-09,108.56573705179282,
2015-03-10,106.97211155378486,
2015-03-11,105.77689243027888,
2015-03-12,107.96812749003983,
2015-03-13,106.77290836653385,
2015-03-16,105.17928286852589,
2015-03-17,104.9800796812749,
2015-03-18,105.77689243027888,
2015-03-19,104.9800796812749,
2015-03-20,109.3625498007968,
2015-03-23,107.56972111553785,
2015-03-24,105.97609561752988,
2015-03-25,107.56972111553785,
2015-03-26,107.56972111553785,
2015-03-27,106.57370517928287,
2015-03-30,105.17928286852589,
2015-03-31,104.38247011952191,
2015-04-01,108.36653386454182,
2015-04-02,105.77689243027888,
2015-04-03,105.77689243027888,
2015-04-07,105.77689243027888,
2015-04-08,103.18725099601593,
2015-04-09,104.5816733067729,
2015-04-10,102.98804780876493,
2015-04-13,104.7808764940239,
2015-04-14,107.37051792828684,
2015-04-15,107.76892430278883,
2015-04-16,109.5617529880478,
2015-04-17,106.37450199203187,
2015-04-20,105.77689243027888,
2015-04-21,106.97211155378486,
2015-04-22,107.56972111553785,
2015-04-23,109.5617529880478,
2015-04-24,112.74900398406373,
2015-04-27,114.3426294820717,
2015-04-28,113.34661354581672,
2015-04-29,108.16733067729083,
2015-04-30,109.7609561752988,
2015-05-04,108.96414342629481,
2015-05-05,107.96812749003983,
2015-05-06,108.16733067729083,
2015-05-07,106.17529880478087,
2015-05-08,106.57370517928287,
2015-05-11,107.56972111553785,
2015-05-12,106.97211155378486,
2015-05-13,108.96414342629481,
2015-05-14,106.77290836653385,
2015-05-15,107.96812749003983,
2015-05-18,109.96015936254979,
2015-05-19,108.16733067729083,
2015-05-20,110.55776892430278,
2015-05-21,111.15537848605577,
2015-05-22,111.15537848605577,
2015-05-25,111.15537848605577,
2015-05-26,111.55378486055776,
2015-05-27,107.96812749003983,
2015-05-28,107.17131474103584,
2015-05-29,106.57370517928287,
2015-06-01,106.77290836653385,
2015-06-02,106.97211155378486,
2015-06-03,107.56972111553785,
2015-06-04,108.16733067729083,
2015-06-05,105.97609561752988,
2015-06-08,104.18326693227091,
2015-06-09,102.19123505976096,
2015-06-10,101.99203187250995,
2015-06-11,102.78884462151395,
2015-06-12,101.99203187250995,
2015-06-15,100.99601593625498,
2015-06-16,100.19920318725097,
2015-06-17,102.19123505976096,
2015-06-18,104.18326693227091,
2015-06-19,104.5816733067729,
2015-06-23,105.57768924302789,
2015-06-24,104.7808764940239,
2015-06-25,104.7808764940239,
2015-06-26,104.18326693227091,
2015-06-29,103.78486055776892,
2015-06-30,101.19521912350598,
2015-07-01,101.19521912350598,
2015-07-02,106.77290836653385,
2015-07-03,106.57370517928287,
2015-07-06,105.37848605577689,
2015-07-07,106.97211155378486,
2015-07-08,100.59760956175299,
2015-07-09,105.57768924302789,
2015-07-10,103.38645418326693,
2015-07-13,103.38645418326693,
2015-07-14,104.7808764940239,
2015-07-15,107.56972111553785,
2015-07-16,109.5617529880478,
2015-07-17,111.75298804780876,
2015-07-20,113.34661354581672,
2015-07-21,111.95219123505976,
2015-07-22,110.75697211155378,
2015-07-23,109.7609561752988,
2015-07-24,109.16334661354581,
2015-07-27,104.9800796812749,
2015-07-28,106.17529880478087,
2015-07-29,110.15936254980079,
2015-07-30,113.54581673306771,
2015-07-31,108.96414342629481,
2015-08-03,108.16733067729083,
2015-08-04,106.97211155378486,
2015-08-05,108.96414342629481,
2015-08-06,108.96414342629481,
2015-08-07,110.95617529880477,
2015-08-10,108.96414342629481,
2015-08-11,115.53784860557768,
2015-08-12,113.94422310756973,
2015-08-13,112.74900398406373,
2015-08-14,113.54581673306771,
2015-08-17,113.74501992031871,
2015-08-18,111.15537848605577,
2015-08-19,118.92430278884463,
2015-08-20,115.9362549800797,
2015-08-21,113.14741035856572,
2015-08-24,107.96812749003983,
2015-08-25,109.16334661354581,
2015-08-26,109.5617529880478,
2015-08-27,110.15936254980079,
2015-08-28,113.74501992031871,
2015-08-31,111.75298804780876,
2015-09-01,113.54581673306771,
2015-09-02,111.35458167330677,
2015-09-07,112.54980079681273,
2015-09-08,113.34661354581672,
2015-09-09,119.9203187250996,
2015-09-10,118.72509960159363,
2015-09-11,118.12749003984062,
2015-09-14,115.9362549800797,
2015-09-15,115.53784860557768,
2015-09-16,117.72908366533865,
2015-09-17,117.92828685258965,
2015-09-18,116.73306772908364,
2015-09-21,116.33466135458166,
2015-09-22,116.53386454183266,
2015-09-23,112.74900398406373,
2015-09-24,118.32669322709162,
2015-09-25,115.13944223107569,
2015-09-28,115.13944223107569,
2015-09-29,113.54581673306771,
2015-09-30,113.94422310756973,
2015-10-08,111.75298804780876,
2015-10-09,111.95219123505976,
2015-10-12,113.74501992031871,
2015-10-13,112.74900398406373,
2015-10-14,111.75298804780876,
2015-10-15,107.96812749003983,
2015-10-16,112.74900398406373,
2015-10-19,112.54980079681273,
2015-10-20,112.35059760956175,
2015-10-21,112.35059760956175,
2015-10-22,114.5418326693227,
2015-10-23,114.74103585657369,
2015-10-26,112.94820717131473,
2015-10-27,113.94422310756973,
2015-10-28,113.94422310756973,
2015-10-29,114.1434262948207,
2015-10-30,113.34661354581672,
2015-11-02,115.53784860557768,
2015-11-03,117.52988047808763,
2015-11-04,116.93227091633467,
2015-11-05,120.91633466135458,
2015-11-06,125.09960159362548,
2015-11-09,121.91235059760956,
2015-11-10,119.3227091633466,
2015-11-11,121.31474103585656,
2015-11-12,121.31474103585656,
2015-11-13,121.71314741035857,
2015-11-16,119.7211155378486,
2015-11-17,121.51394422310757,
2015-11-18,125.2988047808765,
2015-11-19,125.2988047808765,
2015-11-20,126.89243027888446,
2015-11-23,126.89243027888446,
2015-11-24,125.4980079681275,
2015-11-25,123.50597609561753,
2015-11-26,126.29482071713147,
2015-11-27,125.09960159362548,
2015-11-30,125.2988047808765,
